StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1_1,Q1.1_2,Q1.1_3,Q1.1_4,Q1.2,Q2.1,Q2.2,Q2.3,Q26,Q27,Q2.4,Q2.5,Q2.6,Q21,Q3.1,Q3.2,Q3.2_5_TEXT,Q3.3,Q41,Q18,Q20,Q3.4,Q3.5,Q3.6,Q22,SC0,Payment,Q3.5 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Session 1 Checklist
Session Information - Date of Session (mm/dd/yyyy)","Session 1 Checklist
Session Information - Time of Session Start","Session 1 Checklist
Session Information - Experimenter Initials","Session 1 Checklist
Session Information - Participant ID (###)",Is this a follow up visit?,Please confirm that you completed the following tasks by checking the box.,"Please include all relevant details about session issues, concerns, missing data etc.",Did you finish session 1?,Did you schedule them for session 2?,What is the date for session 2? I.e. 10/08/2019,Did you personally schedule them for a follow-up?,What is the date for the session 1 follow-up?,Do you need a coordinator to reach out and schedule them for a session 1 follow-up?,How long do you estimate you need to complete the follow-up visit?,Please confirm that you completed the following tasks by checking the boxes.,"Which forms did they complete (from first session 1 visit)?
Note: Do NOT select anything that you did not get to during the first visit, only items that were missing, incomplete etc. - Selected Choice","Which forms did they complete (from first session 1 visit)?
Note: Do NOT select anything that you did not get to during the first visit, only items that were missing, incomplete etc. - Other - Text",Did you finish session 1?,"To track participant payment amounts for session 1, please indicate how much total time was spent on follow-up appointments. Do not include time spent on the initial visit.","You indicated that you spent more than 5 hours on session 1 follow-ups, please record how much time you spent total on session 1 follow-ups.",How long did you spend on this follow-up visit?,Did you personally schedule them for a follow-up?,What is the date for the session 1 follow-up?,Do you need a coordinator to reach out and schedule them for a session 1 follow-up visit?,How long do you estimate you need to complete the follow-up visit?,Payment Amount,Payment,Q3.5 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID13""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_5_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID41""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID29""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""SC_3z0HKHrcqQS3Zrf""}","{""ImportId"":""Payment""}","{""ImportId"":""QID34_TEXT_66f6c411c1fb4cbcabdf88fbTopics""}"
8/14/19 12:53,8/14/19 12:54,1,,100,41,1,8/14/19 12:54,R_1HqwSdTVogqRXJa,,,,,40.79570007,-77.86180115,preview,EN,8/14/19,3PM,BBH,1,,"1,9,5,6,7",,,,,,,,,,,,,,,,,,,,0,,
8/15/19 9:02,8/15/19 9:05,0,128.118.7.26,100,207,1,8/15/19 9:05,R_3dKXaX5vlLr83eo,,,,,40.79570007,-77.86180115,anonymous,EN,8/15/19,8:00 AM,BBH and AS,8,,"1,2,9,3,10,4,5,8,11",need to follow up and finish up SCID-5. Also SD card was full and during the overview we needed to get a new SD card.,,,,,,,,,,,,,,,,,,,0,,
8/15/19 12:08,8/15/19 12:09,0,128.118.7.27,100,32,1,8/15/19 12:09,R_1pX6PtfUzA21ezw,,,,,40.79570007,-77.86180115,anonymous,EN,8/14/19,6:00,DP,1,,"1,2,9,3,10,4,5,6,7,8,11",,,,,,,,,,,,,,,,,,,,0,,
8/16/19 14:51,8/16/19 14:55,0,128.118.7.26,100,229,1,8/16/19 14:55,R_81VyYg6dhvqAVO1,,,,,40.79570007,-77.86180115,anonymous,EN,8/16/19,3pm,BH,5,,"1,2,9,3,10,5,6,7,8,11","transfer from pandaa. video not on for first ~5 min of interview. Begonia interviewing, Nate observing.",,,,,,,,,,,,,,,,,,,0,,
8/22/19 18:36,8/22/19 18:36,0,98.235.70.167,100,57,1,8/22/19 18:36,R_1qethceItR3OtYM,,,,,40.81030273,-77.88800049,anonymous,EN,8/22/19,4PM,NH,9,2,"1,2,3,10,4,5,8",,,,,,,,,,,,,,,,,,,,0,,
8/23/19 15:02,8/23/19 15:03,0,128.118.7.27,100,62,1,8/23/19 15:03,R_7VBk2Zo5I0nOy65,,,,,40.79570007,-77.86180115,anonymous,EN,8/19/19,1:00PM,SP,10,2,"1,2,9,3,10,4,5,6,7,8",Will need to schedule follow-up,,,,,,,,,,,,,,,,,,,0,,
8/27/19 10:27,8/27/19 10:28,1,,100,28,1,8/27/19 10:28,R_2WTINYFnQIMiigU,,,,,40.79570007,-77.86180115,preview,EN,,,,,2,"1,2,9,3,10,4,5,6,8",,1,,,,,,,,,,,,,,,,,,0,,
8/27/19 11:34,8/27/19 11:38,0,128.118.7.26,100,205,1,8/27/19 11:38,R_1rCxAgWeo4EmZR0,,,,,40.79570007,-77.86180115,anonymous,EN,8/27/19,11,AMS,3,2,"1,2,9,3,10,4,5,6,8",Participant has copper IUD. Does that make her completely ineligible for the study?,1,,,,,,,,,,,,,,,,,,0,,
8/27/19 17:06,8/27/19 17:08,0,107.77.203.143,100,143,1,8/27/19 17:08,R_32KM3O5PLj1O1of,,,,,38.90910339,-77.02030182,anonymous,EN,8/27/19,4:15pm,SP,12,2,"1,2,9,3,10,4,8",,2,,,1,9/3 4-7,,,,,,,,,,,,,,0,,
8/28/19 7:46,8/28/19 7:49,0,104.39.180.14,100,191,1,8/28/19 7:49,R_0OQdSktnyhtHXBD,,,,,40.79570007,-77.86180115,anonymous,EN,8/28/19,8:00AM,NH,9,1,,,,,,,,,,"11,10,6,8",3,,2,,,,2,,1,,0,,
8/28/19 12:42,8/28/19 12:44,0,128.118.7.27,100,128,1,8/28/19 12:44,R_2EtpQbcgJ182ydu,,,,,40.79570007,-77.86180115,anonymous,EN,8/28/96,12:00,DP,4,2,"1,2,9,3,10,4,5,8",,2,,,1,8/3/19,,,,,,,,,,,,,,0,,
8/28/19 18:03,8/28/19 18:04,0,128.118.7.26,100,66,1,8/28/19 18:04,R_22LzFmmfmkEf88L,,,,,40.79570007,-77.86180115,anonymous,EN,8/28/19,8:03,DP,7,1,,,,,,,,,,"11,10,5,8",,,2,,,,2,,1,,0,,
8/29/19 9:15,8/29/19 9:16,0,128.118.7.26,100,21,1,8/29/19 9:16,R_2WDbD7JkyEGfEHS,,,,,40.79570007,-77.86180115,anonymous,EN,8/29/19,8am,AMS,11,2,"1,2,9,12,3,10,4,5,6,8",,1,,,,,,,,,,,,,,,,,,0,,
9/2/19 10:41,9/2/19 10:42,0,128.118.7.26,100,57,1,9/2/19 10:42,R_1LTm9ftEFICcO0L,,,,,40.79570007,-77.86180115,anonymous,EN,9/2/19,9am,AMS,13,2,"1,2,9,12,3,10,4,5,8",Completed part of SCID. Will need to discuss clinical features of case in case conference. ,2,,,2,,1,,,,,,,,,,,,,0,,
9/3/19 11:00,9/3/19 11:02,0,128.118.7.26,100,81,1,9/3/19 11:02,R_2uvXAFuuxY0KGlR,,,,,40.79570007,-77.86180115,anonymous,EN,12/12/96,12:15,DP,7,1,,,,,,,,,,"11,10,5,6,7,8","1,2,6,3,4",,1,,,,,,,,0,,
9/3/19 18:20,9/3/19 18:21,0,107.77.204.86,100,70,1,9/3/19 18:21,R_1nOdM1ZjZlmon9q,,,,,38.90910339,-77.02030182,anonymous,EN,9/3/19,4:05,SP,12,1,,,,,,,,,,"11,10,5,8","1,2,6,3,4",,2,,,,2,,1,,0,,
9/9/19 8:31,9/9/19 11:00,0,128.118.7.26,100,8974,1,9/9/19 11:00,R_1C8hlV9uiqdVLeO,,,,,40.79570007,-77.86180115,anonymous,EN,9/9/19,10:30,DP,15,2,"1,2,9,12,10,4,5,8",She is not a U.S. citizen. Is there an additional form she needs to complete to receive payment? She's here on a student visa.,2,,,2,,1,,,,,,,,,,,,,0,,
9/10/19 9:48,9/10/19 9:58,0,104.39.199.68,100,580,1,9/10/19 9:58,R_3dRhEWzug5dQDo9,,,,,40.79570007,-77.86180115,anonymous,EN,9/10/19,11:30 AM,BBH,8,1,,,,,,,,,,"11,10,5,6,7,8",3,,1,,,,,,,,0,,
9/10/19 11:31,9/10/19 11:31,1,,100,6,1,9/10/19 11:31,R_1j80tNI0W2Id46Q,,,,,40.79570007,-77.86180115,preview,EN,,,,,1,,,,,,,,,,,,,1,,,,,,,,0,,
9/10/19 12:49,9/10/19 12:50,0,128.118.7.27,100,59,1,9/10/19 12:50,R_3HS0Rdr3BtdXv6L,,,,,40.79570007,-77.86180115,anonymous,EN,9/10/19,12:45,SP,10,1,,,,,,,,,,"11,10,5,8",,,2,,,3,2,,1,,0,,
9/11/19 9:35,9/11/19 12:05,0,128.118.7.27,100,9043,1,9/11/19 12:05,R_cIPUtRmgeaiIlNL,,,,,40.79570007,-77.86180115,anonymous,EN,9/11/19,11:00 AM,BBH,17,2,"1,2,9,12,3,10,4",,2,,,1,9/17/19,,,,,,,,,,,,,,0,,
9/11/19 14:19,9/11/19 14:20,1,,100,28,1,9/11/19 14:20,R_3qjTO8rVKQgyk97,,,,,40.79570007,-77.86180115,preview,EN,,,,,2,,,2,,,2,,2,,,,,,,,,,,,,0,,
9/12/19 11:49,9/12/19 11:50,0,104.39.136.2,100,49,1,9/12/19 11:50,R_tKZbPIVmPP6LLdT,,,,,40.79570007,-77.86180115,anonymous,EN,9/12/19,8am,AS,13,1,,,,,,,,,,"10,6,8",,,1,2,,,,,,,50,,
9/12/19 19:26,9/12/19 19:27,0,71.58.102.3,100,69,1,9/12/19 19:27,R_117unQb8f17Az9W,,,,,40.79570007,-77.86180115,anonymous,EN,9/12/19,5:30,AS,7,1,,,,,,,,,,"10,8",,,2,,,6,2,,1,30 minutes,0,,
9/13/19 8:10,9/13/19 8:12,0,104.39.218.16,100,100,1,9/13/19 8:12,R_UolQp7BFfwNgHst,,,,,40.81030273,-77.88800049,anonymous,EN,9/12/19,4pm,NH,19,2,"1,2,9,12,3,10,4",~60% through SIDP. need to schedule time to finish rest of SIDP and SCID. potential SAD.,2,,,2,,1,3 hr,,,,,,,,,,,,0,,
9/16/19 10:09,9/16/19 10:10,0,128.118.7.26,100,43,1,9/16/19 10:10,R_3P6lSoSlgtadCgi,,,,,40.79570007,-77.86180115,anonymous,EN,9/16/19,10:00,DP,15,1,,,,,,,,,,"11,10,5,6,7,8","1,2,6,3,4",,1,1,,,,,,,45,,
9/16/19 18:14,9/16/19 18:15,0,104.39.158.125,100,99,1,9/16/19 18:15,R_2SwOaMiyjULBJkz,,,,,40.50759888,-78.39250183,anonymous,EN,9/16/19,5:00pm,NH,16,2,"1,2,9,12,3,10,4,5,8",looks like will qualify for BPD group. super internalizing. ,2,,,1,26-Sep,,,,,,,,,,,,,,0,,
9/19/19 12:01,9/19/19 12:02,0,128.118.7.26,100,90,1,9/19/19 12:02,R_PI43CAqws3zFyq5,,,,,40.79570007,-77.86180115,anonymous,EN,9/19/19,11:20,BBH,6,2,"1,2,9,12,3,4","Had issues with camera SD card, did not record interview.",2,,,1,10/3/19,,,,,,,,,,,,,,0,,
9/19/19 17:54,9/19/19 17:55,0,104.39.248.20,100,56,1,9/19/19 17:55,R_10Txu30zhIXudTk,,,,,40.79570007,-77.86180115,anonymous,EN,9/19/19,11:00,DP,18,2,"1,2,9,12,3,8","Memory card was full, and did not know how to empty it at the time, so no video was recorded.",2,,,1,Sept. 26,,,,,,,,,,,,,,0,,
9/19/19 17:57,9/19/19 18:00,0,104.39.248.20,100,158,1,9/19/19 18:00,R_2z70S1M9CqdYgEY,,,,,40.79570007,-77.86180115,anonymous,EN,9/19/19,5:40,DP,7,1,,,,,,,,,,"11,10,5,6,7,8",,,1,7,4:15,,,,,,75,,
9/20/19 14:53,9/20/19 14:54,0,174.229.135.183,100,42,1,9/20/19 14:54,R_2tcgtaVjBjmzrai,,,,,40.3052063,-79.54180145,anonymous,EN,9/20/19,2,DP,20,2,"1,2,9,12,3,10,4,5,6,8",,1,,,,,,,,,,,,,,,,,,0,,
9/24/19 8:22,9/24/19 11:07,0,128.118.7.26,100,9884,1,9/24/19 11:07,R_eLI0aEOvTxaLZlf,,,,,40.79570007,-77.86180115,anonymous,EN,9/24/19,10:00,DP,27,2,"1,2,9,12,3,10,4,8",,2,,,1,10/2/19,,,,,,,,,,,,,,0,0,
9/25/19 10:41,9/25/19 10:44,0,104.39.110.110,100,139,1,9/25/19 10:44,R_2yd8eptko6CSYSp,,,,,40.79589844,-77.86199951,anonymous,EN,9/24/19,11am,AMS,21,2,"1,2,12,3,10,4,8","Camera may not have worked, paper consent, surface not working (would not connect to internet), complex case",2,,,1,9/26/19,,,,,,,,,,,,,,0,0,
9/26/19 9:20,9/26/19 9:21,0,128.118.7.27,100,54,1,9/26/19 9:21,R_piObwpOHcNZR4jL,,,,,40.79570007,-77.86180115,anonymous,EN,9/26/19,11AM,NH,16,1,,,,,,,,,,"10,6",,,1,2,,,,,,,50,,
9/26/19 12:16,9/26/19 12:17,0,128.118.7.26,100,41,1,9/26/19 12:17,R_3dLI27Cbmr79Z6f,,,,,40.79570007,-77.86180115,anonymous,EN,9/26/19,11am,AMS,21,1,,,,,,,,,,"11,10,5,6",3,,1,5,,,,,,,65,,
9/26/19 15:06,9/26/19 15:08,0,128.118.7.27,100,95,1,9/26/19 15:08,R_3KBWFcblWX2KMl0,,,,,40.79570007,-77.86180115,anonymous,EN,9/25/19,2:00 PM,BBH,23,2,"1,2,9,12,3,10,4,5,8",,2,,,1,9/30/19,,,,,,,,,,,,,,0,0,
9/30/19 14:52,9/30/19 14:54,0,128.118.7.27,100,98,1,9/30/19 14:54,R_3lzeVP3hcu8FQNB,,,,,40.79570007,-77.86180115,anonymous,EN,9/30/19,12:00 p.m.,DP,24,2,"1,2,9,12,3,10,4,8",,2,,,1,October 9th,,,,,,,,,,,,,,0,0,
9/30/19 15:45,9/30/19 15:48,0,128.118.7.27,100,194,1,9/30/19 15:48,R_vvJoVg1R41jEQ5b,,,,,40.79570007,-77.86180115,anonymous,EN,9/30/19,12:30,BBH,23,1,,,,,,,,,,"11,10,5,6,8",,,1,3,,,,,,,55,,
10/2/19 12:54,10/2/19 12:56,0,128.118.7.27,100,78,1,10/2/19 12:56,R_2YrL1xRJ6sB3OxZ,,,,,40.79570007,-77.86180115,anonymous,EN,10/2/19,1:00,Sp,10,1,,,,,,,,,,"11,10,5,6,8",,,1,7,3 hours 30 minutes,,,,,,75,,
10/2/19 15:10,10/2/19 15:11,0,128.118.7.27,100,78,1,10/2/19 15:11,R_1nU6ACpcnmetnR4,,,,,40.79570007,-77.86180115,anonymous,EN,10/2/19,3,BBH,25,2,"1,2,9,12,3,10,4,5,8",Forgot to turn camera on for first 10 minutes of interview. ,2,,,1,"October 8th, 2019",,,,,,,,,,,,,,0,0,
10/3/19 15:12,10/3/19 15:13,0,128.118.7.27,100,48,1,10/3/19 15:13,R_1dB2YPbaEL3euBi,,,,,40.79570007,-77.86180115,anonymous,EN,10/3/19,4pm,NH,19,1,,,,,,,,,,"10,5,6,8",,,1,2,,,,,,,50,,
10/3/19 16:23,10/3/19 16:24,0,107.77.203.99,100,48,1,10/3/19 16:24,R_3dDJAEf81zKUFfH,,,,,38.83250427,-76.9980011,anonymous,EN,10/3/19,4:00,SP,14,2,"1,2,9,12,3,10,4,5,6,8",,1,,,,,,,,,,,,,,,,,,0,,
10/4/19 19:40,10/4/19 19:42,0,107.77.203.145,100,117,1,10/4/19 19:42,R_SUyXs4y5AKmp0t3,,,,,38.83250427,-76.9980011,anonymous,EN,10/4/19,1:45,Sp,27,2,"1,2,9,12,3,10,4,8",,2,,,2,,1,Do not schedule yet-bipolar 1 diagnosis may exclude ,,,,,,,,,,,,0,,
10/8/19 10:36,10/8/19 10:36,1,,100,10,1,10/8/19 10:36,R_DiqmT9Fuqz1TrHj,,,,,40.79570007,-77.86180115,preview,EN,,,,,2,,,1,,,,,,,,,,,,,,,,,,0,,
10/8/19 10:41,10/8/19 10:41,1,,100,16,1,10/8/19 10:41,R_3qBB1VztEs33SUG,,,,,40.79570007,-77.86180115,preview,EN,,,,,2,,,1,1,,,,,,,,,,,,,,,,,0,,
10/8/19 15:57,10/8/19 15:58,0,104.39.87.191,100,70,1,10/8/19 15:58,R_25ZQxtENjYFzUS2,,,,,40.81030273,-77.88800049,anonymous,EN,10/8/19,10:00,DP,22,1,,,,,,,,,,"11,10,5,8","1,2,6,3,4",,2,,,3,1,10/9/19,,,0,0,
10/9/19 12:29,10/9/19 12:34,0,104.39.87.191,100,326,1,10/9/19 12:34,R_3dJNzVTzgGBNmUl,,,,,40.81030273,-77.88800049,anonymous,EN,10/9/19,1:15,DP,22,1,,,,,,,,,,"11,10,5,6,7,8",,,1,5,,,,,,,65,,
10/9/19 14:30,10/9/19 14:32,0,104.39.248.241,100,141,1,10/9/19 14:32,R_3sn1mFZIHQw9RJG,,,,,40.81030273,-77.88800049,anonymous,EN,10/9/19,2:30 PM,BBH,26,1,,,,,,,,,,"11,10,5,6,8",,,1,2,,,,,,,50,,
10/11/19 13:12,10/11/19 13:26,0,128.118.7.27,100,847,1,10/11/19 13:26,R_2th6wEVc7pu5WLp,,,,,40.79570007,-77.86180115,anonymous,EN,10/11/19,11:00 AM,BBH,28,2,"1,2,9,12,3,10,4,5,8,13",,2,,,1,10/25/19,,,,,,,,,,,,,,0,0,